220245 CAPITAO GERVASIO OLIVEIRA;0;129.82;89.47;64.91;31.82;170.37;96.08;70.59;101.61;66.67;0
220250 CARACOL;0;71.43;102.55;84.39;69.59;77.78;73.72;98.72;91.67;85.35;0
220253 CARAUBAS DO PIAUI;0;109.28;100;96.74;41.05;41.43;105;98.75;96.25;124.36;0
220255 CARIDADE DO PIAUI;0;133.33;97.78;90.28;61.9;77.03;76.39;75;106.67;70.73;0
220260 CASTELO DO PIAUI;0;106.07;76.59;106.09;82.13;88.42;84.67;91.99;110.78;92.63;0
220265 CAXINGO;0;94.05;114.29;80.41;59.14;95.4;122.67;109.33;85.29;90.24;0
220270 COCAL;0.22;58.92;68.39;66.44;69.31;97.83;85.9;94.68;77.86;92.34;0
220271 COCAL DE TELHA;0;113.51;104.05;79.71;122.64;87.5;102.67;104;64;107.02;0
220272 COCAL DOS ALVES;0;157.53;146.58;103.41;115.12;90.36;94.67;105.33;145.16;145.9;0
220273 COIVARAS;0;106.45;67.74;98.21;77.08;102.04;53.06;130.61;111.76;179.17;0
220275 COLONIA DO GURGUEIA;0;105.79;92.56;89.11;92.59;95.89;91.46;86.59;95.65;91.36;0
220277 COLONIA DO PIAUI;0;91.92;103.03;103.9;44.44;65.38;61.7;72.34;70.93;69.61;0
220280 CONCEICAO DO CANINDE;0;102.9;95.65;60.81;155.1;98.67;78.69;96.72;81.16;72.73;0
220285 CORONEL JOSE DIAS;0;63.49;74.6;98;108.33;111.32;70.97;93.55;60;87.76;0
220290 CORRENTE;0;128.74;109.26;105.79;95.49;106.6;81.52;77.73;102.95;87.56;0
220300 CRISTALANDIA DO PIAUI;0;91.5;109.8;83.45;73.13;67.62;76.99;75.22;70.71;67.01;0
220310 CRISTINO CASTRO;0;143.37;108.43;81.91;62.16;37.8;114.94;103.9;88.62;168.94;0
220320 CURIMATA;0;121.15;105.29;80.79;92.31;56.02;64.07;90.42;91.35;89.25;0
220323 CURRAIS;0;103.03;78.79;80.39;55.7;83.54;94.81;105.19;65;30;0
220325 CURRALINHOS;0;82.19;95.89;127.12;98.65;93.65;96.61;105.08;158.82;92.65;0
220327 CURRAL NOVO DO PIAUI;0;110;97;104.88;86.25;105.13;110.45;111.94;97.1;97.26;0
220330 DEMERVAL LOBAO;0;141.88;115.18;104.72;107.57;112.3;197.07;120;100;91.29;0
220335 DIRCEU ARCOVERDE;0;110.64;115.96;106.74;31;46.88;51.19;38.1;41.84;53.12;0
220340 DOM EXPEDITO LOPES;0;84.21;85.26;118.6;87.84;85.39;84.34;113.25;88.04;104.17;0
220342 DOMINGOS MOURAO;0;102.56;85.9;90.77;72.73;52.08;116.36;107.27;125;71.19;0
220345 DOM INOCENCIO;0;121;116;105.56;65;95.4;72.34;91.49;107.79;133.33;0
220350 ELESBAO VELOSO;0;88.99;91.74;88.95;142.37;107.74;106.67;90.91;112.58;108.39;0
220360 ELISEU MARTINS;0;114.04;119.3;104.65;30.36;82;92.16;101.96;58;102.17;0
220370 ESPERANTINA;0;102.81;90.81;105.81;65.66;36.36;38.64;43.85;67.43;74.27;0
220375 FARTURA DO PIAUI;0;187.1;117.74;97.01;36.21;26.83;61.11;88.89;104.76;79.22;0
220380 FLORES DO PIAUI;0;79.59;73.47;93.15;50;115.38;152.38;164.29;85.71;91.94;0
